NAME,AUTHOR,NARRATOR,RELEASEDATE,LANGUAGE,PRICE,DURATION_MINUTES,RATING_PERCENT
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K.Rowling,Stephen Fry,20-11-15,English,999.0,790,100
Big Shot,Jeff Kinney,Dan Russell,26-10-21,English,410.0,135,100
"Harry Potter and the Half-Blood Prince, Book 6",J.K.Rowling,Stephen Fry,20-11-15,English,1599.0,1287,100
Why We Sleep,Matthew Walker,John Sackville,07-12-17,English,820.0,811,100
"Harry Potter and the Goblet of Fire, Book 4",J.K.Rowling,Stephen Fry,20-11-15,English,1599.0,1337,100
Old School,Jeff Kinney,Dan Russell,03-11-15,English,410.0,129,100
"Harry Potter and the Chamber of Secrets, Book 2",J.K.Rowling,Stephen Fry,20-11-15,English,999.0,665,100
Charlie and the Chocolate Factory,Roald Dahl,Douglas Hodge,11-09-14,English,615.0,197,100
Percy Jackson and the Last Olympian,Rick Riordan,Jesse Bernstein,21-01-10,English,820.0,660,100
Diary of a Wimpy Kid,Jeff Kinney,Dan Russell,29-03-18,English,410.0,139,100
iCon Steve Jobs,"Jeffrey S.Young,William L.Simon",Alan Sklar,01-09-06,English,445.0,213,100
Nice Girls Don't Get the Corner Office & Nice Girls Don't Get Rich,Lois P.Frankel Ph.D.,Lois P.Frankel Ph.D.,06-05-05,English,500.0,300,100
Simple & Safe Baby-Led Weaning,Malina Linkas Malkani MSRDNCDN,Courtney Patterson,10-03-20,English,233.0,122,100
Work the System (Fourth Edition),Sam Carpenter,Sam Carpenter,16-03-21,English,703.0,557,100
The High 5 Habit,Mel Robbins,Mel Robbins,28-09-21,English,668.0,417,100
Breath from Salt,Bijal P.Trivedi,Deepti Gupta,01-12-20,English,1055.0,1235,100
Breaking Rockefeller,Peter B.Doran,Peter B.Doran,24-05-16,English,1005.0,594,100
Taste,Stanley Tucci,Stanley Tucci,07-10-21,English,888.0,409,100
God and Love on Route 80,"Stephen G.Post,Dr.Larry Dossey-foreword",Scott Overton,06-07-21,English,469.0,437,100
Mindset Secrets for Winning: How to Bring Personal Power to Everything You Do,Mark Minervini,Doug Gotchman,23-12-21,English,668.0,325,100
Sun! One in a Billion,Stacy Mc Anulty,Sean Patrick Hopkins,20-07-21,English,13.0,15,100
Overcoming the Destructive Inner Voice,Robert W.Firestone,Will Damron,25-04-17,English,891.0,460,100
The Chosen,"Amanda Jenkins,Kristen Hendricks,Dallas Jenkins","Amanda Jenkins,Dallas Jenkins",26-10-20,English,233.0,165,100
The New York Times Pocket MBA,"Eric Press Ph.D.,CPA",Jeff Woodman,29-08-00,English,367.0,132,100
Noob Game Plus,Ryan Rimmel,Johnathan Mc Clain,25-05-21,English,1507.0,1043,100
Resilience,Lisa Lisson,Vanessa Johansson,07-11-17,English,668.0,301,100
Get It Done Now!,Brian Tracy,"Dan Strutzel,Brian Tracy",29-06-20,English,586.0,445,100
The Voyage of the Beagle,Charles Darwin,Richard Dawkins,28-09-09,English,683.0,343,100
Kalki Puran (Hindi Edition),Dr.Vinay,Avdhesh Tondak,19-07-21,Hindi,0.0,370,100
A Wizard's Guide to Defensive Baking,T.Kingfisher,Patricia Santomasso,12-10-21,English,703.0,510,100
"Mindfulness, Bliss, and Beyond",Ajahn Brahm,Peter Wickham,05-04-16,English,836.0,641,100
Kya Kahate Hain Puran [What Purana Said],"Mahesh Sharma,P.Bhalla",Atul Arya,19-07-21,Hindi,0.0,565,100
Darn Easy,"Peggy Mc Coll,Brian Proctor",Beth Richmond,22-07-21,English,469.0,302,100
The Reluctant Widow,Georgette Heyer,Daon Broni,26-08-21,English,888.0,587,100
"Coran, The Holy Quran",World Music Office,Abdelbasset Mohamed Abdessamad,01-05-08,English,702.0,1894,100
Conflict,Robert Leckie,David Rapkin,18-11-13,English,1003.0,866,100
Subtle Blood,KJCharles,Cornell Collins,30-11-21,English,586.0,517,100
Railroaded,Richard White,Paul Woodson,05-06-18,English,1338.0,1385,100
The Islamic Antichrist,Joel Richardson,Richard Powers,05-05-11,English,632.0,629,100
The Invisible Hook,Peter T.Leeson,Jeremy Gage,04-09-09,English,668.0,461,100
How to Re-Spark and Keep Chemistry in Your Relationship Forever,Leil Lowndes,Leil Lowndes,01-05-13,English,561.0,129,100
Eagle in the Sky,Wilbur Smith,Byron Mondahl,05-03-19,English,721.0,790,100
Capitalism and the Jews,Jerry Z.Muller,Jonathan Davis,08-05-12,English,668.0,332,100
How Carriers Fought,Lars Celander,Sean Runnette,13-08-19,English,703.0,683,100
Think BIG and Kick Ass in Business and Life,"Donald J.Trump,Bill Zanker","Alan Sklar,Donald J.Trump",23-10-07,English,1069.0,492,100
Heretics,G.K.Chesterton,Stewart Crank,25-09-19,English,1524.0,442,100
The Sum of the People,Andrew Whitby,David Piggott,10-04-20,English,500.0,670,100
Minecraft: The Shipwreck,C.B.Lee,"Maxwell Glick,David Huynh,Rebecca Soler",05-11-20,English,888.0,589,100
Along for the Ride,Sarah Dessen,Rachel Botchan,16-06-09,English,1256.0,766,100
How to Think Like an Entrepreneur,Daniel Smith,Dominic Thorburn,30-07-20,English,569.0,255,100
The Master Key to Riches,Napoleon Hill,Fred Stella,02-01-13,English,670.0,505,100
Your Money and Your Brain,Jason Zweig,Walter Dixon,28-01-20,English,586.0,699,100
Brave New Medicine,"Cynthia Li MD,Arlie Russell Hochschild Ph D-foreword",Kimberly Austin,04-03-20,English,445.0,570,100
Your Right to Be Rich,Napoleon Hill,Napoleon Hill,29-12-20,English,233.0,669,100
What They Didn’t Tell Me,Jawad Ahsan,Fajer Al-Kaisi,12-02-21,English,469.0,226,100
How to Find Fulfilling Work,Roman Krznaric,David Thorpe,07-06-12,English,323.0,228,100
Masqueraders,Georgette Heyer,Eleanor Yates,26-08-21,English,888.0,604,100
Enola Gay,"Gordon Thomas,Max Morgan-Witts",Joe Barrett,04-02-20,English,703.0,600,100
A History of China,Hilda Hookham,Charlton Griffin,07-10-08,English,836.0,689,100
Transcendence,Gaia Vince,Gaia Vince,21-01-20,English,938.0,687,100
What the Qur'an Meant,Garry Wills,Robertson Dean,03-10-17,English,754.0,371,100
One Long Night,Andrea Pitzer,Andrea Pitzer,11-10-17,English,500.0,848,100
Drama Queen,Rachel Renée Russell,Jenni Barber,01-10-15,English,797.0,224,100
Napoleon Hill's Master Course,Napoleon Hill,Napoleon Hill,13-11-20,English,820.0,946,100
Endurance,Scott Kelly,Scott Kelly,19-10-17,English,820.0,819,100
The Subjection of Women,John Stuart Mill,Franklin Benjamin,17-04-20,English,586.0,290,100
The Fear Paradox,Frank Faranda,Jeff Harding,21-05-20,English,569.0,275,100
Risk Savvy,Gerd Gigerenzer,Al Kessel,26-05-20,English,586.0,600,100
The Growing Pains of Adrian Mole,Sue Townsend,Nicholas Barnes,05-07-12,English,398.0,334,100
The Diamond Cutter,"Geshe Michael Roach,Lama Christie Mc Nally",Geshe Michael Roach,25-09-09,English,806.0,633,100
The Boundless Sea,David Abulafia,Jonathan Keeble,19-12-19,English,888.0,2462,100
The Allure of Dean Harper,R.S.Grey,"Sara Ragsdale,Aaron Roberts",07-06-16,English,668.0,337,100
Conscious Capitalism,"John Mackey,Raj Sisodia,Bill George",Grover Gardner,30-04-14,English,820.0,674,100
"Patrick Melrose, Volume 2: Mother's Milk and At Last",Edward St.Aubyn,Alex Jennings,03-05-18,English,323.0,790,100
Daft Wee Stories,Limmy,Limmy,30-07-15,English,683.0,388,100
Funny Girl,Nick Hornby,Emma Fielding,06-11-14,English,752.0,618,100
The Break,Marian Keyes,Aoife Mc Mahon,07-09-17,English,558.0,1141,100
Islam Without Extremes,Mustafa Akyol,Bill Hensel,27-06-13,English,609.0,489,100
Faking It,Jennifer Crusie,Aasne Vigesaa,18-07-08,English,773.0,683,100
Something New,P.G.Wodehouse,B.J.Harrison,19-11-14,English,328.0,482,100
Rich Dad's Retire Young Retire Rich,Robert T.Kiyosaki,Tim Wheeler,16-01-13,English,1005.0,782,100
Classic Goosebumps: Stay Out of the Basement,R.L.Stine,Elizabeth Morton,01-10-15,English,351.0,160,100
Unknown Market Wizards,Jack D.Schwager,DJHolte,03-11-20,English,836.0,720,100
The Delight of Being Ordinary,Roland Merullo,P.J.Ochlan,11-04-17,English,1131.0,802,100
Wages of Rebellion,Chris Hedges,Davidde Vries,22-06-15,English,836.0,546,100
A Brief Natural History of Civilization,Mark Bertness,Stephen Bowlby,21-04-20,English,773.0,549,100
Orthodox Christianity,A.Edward Siecienski,David Cochran Heath,14-04-20,English,469.0,208,100
You Say You Want a Revolution?,Daniel Chirot,Paul Boehmer,03-03-20,English,586.0,376,100
Millionaire Traders,"Kathy Lien,Boris Schlossberg",Caroline Shaffer,09-07-20,English,836.0,674,100
Russia in Revolution,S.A.Smith,Derek Perkins,10-04-18,English,1003.0,977,100
The Unknown Ajax,Georgette Heyer,Thomas Judd,26-08-21,English,888.0,704,100
"F--k Your Feelings: Master Your Mind, Accomplish Anything and Become a More Significant Human",Ryan Munsey,Ryan Munsey,04-10-18,English,668.0,555,100
"Speak Like Churchill, Stand Like Lincoln",James C.Humes,Norman Dietz,01-08-11,English,679.0,391,100
Highland Thief,Alyson Mc Layne,Rosalyn Landor,24-08-21,English,938.0,736,100
A Higher Call,"Adam Makos,Larry Alexander",Robertson Dean,01-08-13,English,748.0,801,100
Mosquito,"Michael D'Antonio,Andrew Spielman",Michael Butler Murray,19-05-20,English,586.0,434,100
Richest Man In Babylon - Original Edition,George S.Clason,Christa Lewis,03-07-17,English,501.0,240,100
Set for Life,Scott Trench,Scott Trench,28-04-17,English,668.0,504,100
Galahad at Blandings,P.G.Wodehouse,Jeremy Sinden,12-09-05,English,702.0,327,100
Hedge Fund Market Wizards,Jack D.Schwager,Clinton Wade,09-07-20,English,1003.0,970,100
The Boundless Sea,David Abulafia,Nigel Patterson,05-01-21,English,1172.0,2468,100
Safe Haven,Mark Spitznagel,Fred Berman,03-08-21,English,668.0,402,100
The Price of Peace,Zachary D.Carter,Robert Petkoff,19-05-20,English,1507.0,1370,100
"Next Job, Best Job",Rob Barnett,Rob Barnett,29-06-21,English,586.0,485,100
A Children's Bible,Lydia Millet,Xe Sands,12-05-20,English,1172.0,334,100
The Twits,Roald Dahl,Richard Ayoade,11-09-14,English,615.0,57,100
Jeeves and the Feudal Spirit,P.G.Wodehouse,Jonathan Cecil,26-08-05,English,512.0,340,100
"The Great Cholesterol Myth, Revised and Expanded","Jonny Bowden Ph DCNS,Stephen T.Sinatra MD,Michael R.Eades MD-foreword,",Roger Wayne,15-06-21,English,586.0,609,100
A Cooler World,Morgan Taylor,Morgan Taylor,19-08-21,English,836.0,242,100
This Book Is Full of Spiders,David Wong,Nick Podehl,02-10-12,English,1005.0,889,100
Show Us Who You Are,Elle Mc Nicoll,Charlotte Boundy,30-09-21,English,569.0,382,100
The Whistling Schoolboy and Other Stories of School Life,Ruskin Bond,Adnan Kapadia,01-01-17,English,217.0,172,100
"Stiff Upper Lip, Jeeves",P.G.Wodehouse,Jonathan Cecil,25-08-05,English,512.0,311,100
Summer Moonshine,P.G.Wodehouse,Jonathan Cecil,24-12-08,English,607.0,464,100
Genius Ideas (Mostly),Liz Pichon,Rupert Grint,20-07-15,English,398.0,124,100
The Marvellous Land of Snergs,E.A.Wyke-Smith,Stephen Fry,28-07-21,English,569.0,370,100
Heavy Weather,P.G.Wodehouse,Martin Jarvis,09-09-08,English,569.0,291,100
The Luck of the Bodkins,P.G.Wodehouse,Jonathan Cecil,03-09-08,English,702.0,545,100
Measuring the World,Daniel Kehlmann,Rider Strong,30-10-06,English,702.0,430,100
Our Dumb World,The Onion,fullcast,17-10-07,English,500.0,215,100
Number the Stars,Lois Lowry,Blair Brown,16-04-04,English,450.0,165,100
Anathem,Neal Stephenson,"Oliver Wyman,Tavia Gilbert,William Dufris,",08-08-20,English,1338.0,1945,100
Mind Over Medicine,Lissa Rankin,Lissa Rankin,03-06-13,English,937.0,566,100
"Imperial Germany and War, 1871-1918","Daniel J.Hughes,Richard L.Di Nardo",Nigel Patterson,27-08-19,English,820.0,1266,100
The Royal Ranger: Duel at Araluen,John Flanagan,John Keating,07-12-18,English,797.0,594,100
You Are the Placebo,Dr.Joe Dispenza,Adam Boyce,15-04-20,English,836.0,726,100
The Heart of the Five Love Languages,Gary Chapman,Chris Fabry,11-12-08,English,234.0,44,100
The Way Out,"Alan Gordon,Alon Ziv","Alan Gordon,Alon Ziv",18-11-21,English,615.0,290,100
Dune: The Lady of Caladan,"Brian Herbert,Kevin J.Anderson",Scott Brick,02-11-21,English,793.0,1176,100
Phantoms in the Brain,"Sandra Blakeslee,V.S.Ramachandran",Neil Shah,24-12-13,English,1055.0,647,100
Marc's Mission,Jocko Willink,"Thor Willink,Jocko Willink,Rana Willink,",24-04-18,English,74.0,230,100
Young Men in Spats,P.G.Wodehouse,Jonathan Cecil,03-09-08,English,558.0,401,100
Low,Jeet Thayil,Vikas Adam,24-09-20,English,569.0,437,100
The Merchant's Lie (Hindi Edition),Maple Press,Chaitali Gupta,23-09-21,Hindi,139.0,3,100
Summer Lightning,P.G.Wodehouse,John Wells,22-08-11,English,607.0,441,100
Trainspotting,Irvine Welsh,Tam Dean Burn,13-09-12,English,820.0,721,100
Ten Tremendous Tales,Liz Pichon,Mathew Baynton,18-02-21,English,531.0,114,100
The Intelligent Asset Allocator,William J.Bernstein,Barrett Whitener,07-08-21,English,586.0,264,100
The Art of War,"Thomas Cleary-translator,Sun Tzu",Lloyd James,03-04-18,English,377.0,114,100
"Perfect Love, Imperfect Relationships",John Welwood,Stephen Graybill,03-07-18,English,754.0,365,100
The Intimate Marriage,R.C.Sproul,R.C.Sproul,02-08-13,English,659.0,144,100
Cryptoassets,"Chris Burniske,Jack Tatar",Dave Clark,03-08-21,English,703.0,651,100
"Cancer, You Picked the Wrong Girl",Shormistha Mukherjee,Pallavi Bharti,31-12-21,English,900.0,427,100
Little Women,"Jane Smiley-introduction,Louisa May Alcott",Christina Ricci,23-10-12,English,1382.0,1142,100
Flesh & Blood,N.West Moss,Erin Spencer,12-10-21,English,468.0,328,100
Bridgerton: On the Way to the Wedding,Julia Quinn,Rosalyn Landor,24-06-21,English,835.0,780,100
Conquer Change,Shubha Vilas,Neel Chaudhuri,21-10-20,English,836.0,710,100
Why Are We Yelling?,Buster Benson,Buster Benson,28-11-19,English,323.0,356,100
Breathe,Rebecca Dennis,"Rebecca Dennis,Fearne Cotton-foreword",07-01-21,English,615.0,250,100
Lokah Samastah Sukhino Bhavantu,Walter Berger,Walter Berger,21-09-20,german,32.0,18,100
Timeless Tales of Beatrix Potter,Beatrix Potter,Katherine Kellgren,24-03-14,English,703.0,211,100
Black Sheep,Georgette Heyer,Natalie Simpson,04-02-21,English,888.0,532,100
Money Loves Speed,Joe Vitale,Joe Vitale,23-03-21,English,1003.0,171,100
Ten Things I Hate About the Duke,Loretta Chase,Kate Reading,27-05-21,English,835.0,737,100
Crush Catastrophe,Rachel Renée Russell,Jenni Barber,08-11-17,English,797.0,198,100
New Birth or Rebirth,Ravi Zacharias,Simon Vance,07-01-10,English,368.0,124,100
The Ramayana Lord Rama the Supreme Personality of Godhead - Part 2,Valmiki,"Jagannatha Dasa,The Icon Players",28-04-20,English,187.0,189,100
How to Make Someone Love You Forever! In 90 Minutes or Less,Nicholas Boothman,Nicholas Boothman,28-11-07,English,562.0,207,100
"Very Good Jeeves, Volume 2",P.G.Wodehouse,Martin Jarvis,27-05-11,English,493.0,227,100
A Year in the Merde,Stephen Clarke,Justin Edwards,06-06-19,English,683.0,448,100
Diabetes I and II (Hindi Edition),Biswaroop Roy Choudhray,Sanyam Sharma,19-07-21,Hindi,0.0,209,100
Adopt Patience,Shubha Vilas,Neel Chaudhuri,12-11-20,English,668.0,591,100
The Laws of Trading,Agustin Lebron,Timothy Andrés Pabon,30-07-19,English,703.0,678,100
Uncle Dynamite,P.G.Wodehouse,Jonathan Cecil,10-05-05,English,748.0,465,100
